mean_value,best,tpgr,measure,collection,user_model,encoder,model
0.559573658058463,1,1,AP,trec-dl-2019,binarized,contriever,ClickLogsCorrelation
0.522496292382888,0,1,AP,trec-dl-2019,binarized,contriever,LLM
0.510581960568543,0,1,AP,trec-dl-2019,binarized,contriever,vprf5
0.546573680437774,0,1,AP,trec-dl-2019,binarized,contriever,ClickLogsLinearModel
0.514486165006687,0,1,AP,trec-dl-2019,binarized,contriever,ClickLogsWeightedMean
0.500410408912859,0,0,AP,trec-dl-2019,binarized,contriever,ClickLogsMean
0.554803310427097,0,1,AP,trec-dl-2019,binarized,contriever,corocchio
0.503207793808256,0,0,AP,trec-dl-2019,binarized,contriever,vprf20
0.538713504554493,0,1,AP,trec-dl-2019,binarized,contriever,ClickLogsWeightedMax
0.493167500242872,0,0,AP,trec-dl-2019,binarized,contriever,nodime
0.515895572351265,0,0,AP,trec-dl-2019,binarized,dragon,ClickLogsWeightedMax
0.509723996617598,0,0,AP,trec-dl-2019,binarized,dragon,ClickLogsWeightedMean
0.552919360312293,0,0,AP,trec-dl-2019,binarized,dragon,LLM
0.571198669763481,0,0,AP,trec-dl-2019,binarized,dragon,ClickLogsLinearModel
0.624938460013647,1,0,AP,trec-dl-2019,binarized,dragon,corocchio
0.560330515514752,0,0,AP,trec-dl-2019,binarized,dragon,ClickLogsCorrelation
0.571260703238607,0,0,AP,trec-dl-2019,binarized,dragon,vprf5
0.562894935177236,0,0,AP,trec-dl-2019,binarized,dragon,vprf20
0.516552756015405,0,0,AP,trec-dl-2019,binarized,dragon,ClickLogsMean
0.516552038648737,0,0,AP,trec-dl-2019,binarized,dragon,nodime
0.524730074122255,0,1,AP,trec-dl-2019,binarized,tasb,ClickLogsCorrelation
0.536537842965718,0,1,AP,trec-dl-2019,binarized,tasb,ClickLogsLinearModel
0.476210604699245,0,0,AP,trec-dl-2019,binarized,tasb,nodime
0.488217417823924,0,0,AP,trec-dl-2019,binarized,tasb,ClickLogsMean
0.538746127678576,0,1,AP,trec-dl-2019,binarized,tasb,ClickLogsWeightedMax
0.457577726731015,0,0,AP,trec-dl-2019,binarized,tasb,ClickLogsWeightedMean
0.49923860943431,0,1,AP,trec-dl-2019,binarized,tasb,vprf20
0.555319996577543,1,1,AP,trec-dl-2019,binarized,tasb,corocchio
0.524810395024862,0,1,AP,trec-dl-2019,binarized,tasb,vprf5
0.517953130660064,0,1,AP,trec-dl-2019,binarized,tasb,LLM
0.548776698408679,1,1,AP,trec-dl-2019,nearrandom,contriever,ClickLogsCorrelation
