measure,query_id,value
AP,489204,0.06315400942768969
AP,527433,0.3548836191879231
AP,1121402,0.9469699166330754
AP,1114819,0.5376804043342422
AP,183378,0.6448798129552189
AP,855410,0.95
AP,19335,0.14622312047370012
AP,47923,0.4075973931241092
AP,182539,0.7798362784922869
AP,130510,0.8648390598862026
AP,168216,0.7133380016278935
AP,962179,0.7639619544008983
AP,148538,0.32192050073474077
AP,359349,0.6154647728866781
AP,1112341,0.18672806058365876
AP,1124210,0.0679744471575504
AP,443396,0.14790136250899394
AP,1113437,0.4284377190615105
AP,156493,0.8135523485040165
AP,573724,0.7659426298435136
AP,1037798,0.07664727825610382
AP,264014,0.8373431489285579
AP,451602,0.2751078881328005
AP,1106007,0.43310028747173074
AP,1103812,0.5526535210437739
AP,87181,0.5541464907427261
AP,1129237,0.6085441503129251
AP,1110199,0.3541079693107155
AP,1063750,0.3893038223773646
AP,104861,0.5596907833474459
AP,207786,0.5601354132043064
AP,1121709,0.7871973705307038
AP,87452,0.37404951131956227
AP,1114646,0.6187630873053394
AP,146187,0.6409664039058994
AP,1133167,0.7875020542169389
AP,915593,0.37421327896886347
AP,1117099,0.30208317864524736
AP,1115776,0.5956897732702644
AP,131843,0.19858901202460089
AP,833860,0.6755656334605987
AP,490595,0.7397814903288245
AP,405717,0.6508736135349859
R@1000,489204,0.4583333333333333
R@1000,527433,0.8533333333333334
R@1000,1121402,0.9782608695652174
R@1000,1114819,0.6920821114369502
R@1000,183378,0.8078602620087336
R@1000,855410,1.0
R@1000,19335,0.85
R@1000,47923,0.875
R@1000,182539,0.8867924528301887
R@1000,130510,1.0
R@1000,168216,0.8650519031141869
R@1000,962179,1.0
R@1000,148538,0.801980198019802
R@1000,359349,0.9642857142857143
R@1000,1112341,0.5704225352112676
R@1000,1124210,0.5323741007194245
R@1000,443396,0.32978723404255317
R@1000,1113437,0.974025974025974
R@1000,156493,0.9924812030075187
R@1000,573724,0.9710144927536232
R@1000,1037798,0.3076923076923077
R@1000,264014,0.9478672985781991
R@1000,451602,0.6883116883116883
R@1000,1106007,0.7166666666666667
R@1000,1103812,0.8709677419354839
R@1000,87181,0.891566265060241
R@1000,1129237,0.9642857142857143
R@1000,1110199,0.9142857142857143
R@1000,1063750,0.6557971014492754
R@1000,104861,0.8936170212765957
R@1000,207786,1.0
R@1000,1121709,1.0
R@1000,87452,0.7777777777777778
R@1000,1114646,0.9807692307692307
R@1000,146187,0.9565217391304348
R@1000,1133167,0.856140350877193
R@1000,915593,0.8695652173913043
R@1000,1117099,0.7058823529411765
R@1000,1115776,1.0
R@1000,131843,0.296875
R@1000,833860,0.8933333333333333
R@1000,490595,1.0
R@1000,405717,1.0
RR,489204,1.0
RR,527433,1.0
RR,1121402,1.0
RR,1114819,1.0
RR,183378,1.0
RR,855410,1.0
RR,19335,1.0
RR,47923,1.0
RR,182539,1.0
RR,130510,1.0
RR,168216,1.0
RR,962179,1.0
RR,148538,1.0
RR,359349,1.0
RR,1112341,1.0
RR,1124210,1.0
RR,443396,1.0
RR,1113437,1.0
RR,156493,1.0
RR,573724,1.0
RR,1037798,1.0
RR,264014,1.0
RR,451602,1.0
RR,1106007,1.0
RR,1103812,1.0
RR,87181,1.0
RR,1129237,1.0
RR,1110199,1.0
RR,1063750,1.0
RR,104861,1.0
RR,207786,1.0
RR,1121709,1.0
RR,87452,1.0
RR,1114646,1.0
RR,146187,1.0
RR,1133167,1.0
RR,915593,1.0
RR,1117099,1.0
RR,1115776,1.0
RR,131843,1.0
RR,833860,1.0
RR,490595,1.0
RR,405717,1.0
nDCG@10,489204,0.24429801670964557
nDCG@10,527433,0.6519886350786465
nDCG@10,1121402,0.9668728882728055
nDCG@10,1114819,0.6898104073122591
nDCG@10,183378,1.0
nDCG@10,855410,0.9906609666436669
nDCG@10,19335,0.5338386110796368
nDCG@10,47923,0.6201301957834686
nDCG@10,182539,0.7926222752444674
nDCG@10,130510,0.9516916718000088
nDCG@10,168216,0.9085781768482104
