query_id,measure,perfect,binarized,nearrandom
301,AP,0.0,0.0,0.0
301,RR,0.0,0.0,0.0
301,R@1000,0.0,0.0,0.0
301,nDCG@3,0.0,0.0,0.0
301,nDCG@10,0.0,0.0,0.0
301,nDCG@20,0.0,0.0,0.0
301,nDCG@100,0.0,0.0,0.0
302,AP,0.0,0.0,0.0
302,RR,0.0,0.0,0.0
302,R@1000,0.0,0.0,0.0
302,nDCG@3,0.0,0.0,0.0
302,nDCG@10,0.0,0.0,0.0
302,nDCG@20,0.0,0.0,0.0
302,nDCG@100,0.0,0.0,0.0
303,AP,0.010362589085858567,0.00023640661938534278,0.0001321003963011889
303,RR,0.07692307692307693,0.002364066193853428,0.001321003963011889
303,R@1000,0.4,0.1,0.1
303,nDCG@3,0.0,0.0,0.0
303,nDCG@10,0.0,0.0,0.0
303,nDCG@20,0.05780700008370542,0.0,0.0
303,nDCG@100,0.05780700008370542,0.0,0.0
304,AP,0.0010365028693033055,3.595188075230092e-05,2.508579189251458e-05
304,RR,0.019230769230769232,0.00392156862745098,0.002777777777777778
304,R@1000,0.08163265306122448,0.01020408163265306,0.01020408163265306
304,nDCG@3,0.0,0.0,0.0
304,nDCG@10,0.0,0.0,0.0
304,nDCG@20,0.0,0.0,0.0
304,nDCG@100,0.008337846804903291,0.0,0.0
305,AP,0.0,0.0,0.0
305,RR,0.0,0.0,0.0
305,R@1000,0.0,0.0,0.0
305,nDCG@3,0.0,0.0,0.0
305,nDCG@10,0.0,0.0,0.0
305,nDCG@20,0.0,0.0,0.0
305,nDCG@100,0.0,0.0,0.0
306,AP,5.28429507503699e-06,0.0,0.0
306,RR,0.0017543859649122807,0.0,0.0
306,R@1000,0.0030120481927710845,0.0,0.0
306,nDCG@3,0.0,0.0,0.0
306,nDCG@10,0.0,0.0,0.0
306,nDCG@20,0.0,0.0,0.0
306,nDCG@100,0.0,0.0,0.0
307,AP,5.368551028077522e-06,0.0,0.0
307,RR,0.0011273957158962795,0.0,0.0
307,R@1000,0.004761904761904762,0.0,0.0
307,nDCG@3,0.0,0.0,0.0
307,nDCG@10,0.0,0.0,0.0
307,nDCG@20,0.0,0.0,0.0
307,nDCG@100,0.0,0.0,0.0
308,AP,0.0,0.0,0.0
308,RR,0.0,0.0,0.0
308,R@1000,0.0,0.0,0.0
308,nDCG@3,0.0,0.0,0.0
308,nDCG@10,0.0,0.0,0.0
308,nDCG@20,0.0,0.0,0.0
308,nDCG@100,0.0,0.0,0.0
309,AP,0.0,0.0,0.0
309,RR,0.0,0.0,0.0
309,R@1000,0.0,0.0,0.0
309,nDCG@3,0.0,0.0,0.0
309,nDCG@10,0.0,0.0,0.0
309,nDCG@20,0.0,0.0,0.0
309,nDCG@100,0.0,0.0,0.0
310,AP,0.0,0.0,0.0
310,RR,0.0,0.0,0.0
310,R@1000,0.0,0.0,0.0
310,nDCG@3,0.0,0.0,0.0
310,nDCG@10,0.0,0.0,0.0
310,nDCG@20,0.0,0.0,0.0
310,nDCG@100,0.0,0.0,0.0
311,AP,0.0,0.0,0.0
311,RR,0.0,0.0,0.0
311,R@1000,0.0,0.0,0.0
311,nDCG@3,0.0,0.0,0.0
311,nDCG@10,0.0,0.0,0.0
311,nDCG@20,0.0,0.0,0.0
311,nDCG@100,0.0,0.0,0.0
312,AP,0.0036363636363636364,0.0002029220779220779,0.0
312,RR,0.04,0.002232142857142857,0.0
312,R@1000,0.09090909090909091,0.09090909090909091,0.0
312,nDCG@3,0.0,0.0,0.0
312,nDCG@10,0.0,0.0,0.0
312,nDCG@20,0.0,0.0,0.0
312,nDCG@100,0.044115283111570695,0.0,0.0
313,AP,5.908070424199457e-05,5.2709255745308875e-05,6.720430107526882e-05
313,RR,0.005494505494505495,0.004901960784313725,0.00625
313,R@1000,0.010752688172043012,0.010752688172043012,0.010752688172043012
313,nDCG@3,0.0,0.0,0.0
313,nDCG@10,0.0,0.0,0.0
313,nDCG@20,0.0,0.0,0.0
313,nDCG@100,0.0,0.0,0.0
314,AP,0.00014864760869701785,7.17047868961802e-05,2.3357937027001777e-05
314,RR,0.001379310344827586,0.001128668171557562,0.0010277492291880781
314,R@1000,0.06818181818181818,0.045454545454545456,0.022727272727272728
314,nDCG@3,0.0,0.0,0.0
314,nDCG@10,0.0,0.0,0.0
314,nDCG@20,0.0,0.0,0.0
314,nDCG@100,0.0,0.0,0.0
315,AP,0.030844835709984114,0.0,0.0
315,RR,0.08333333333333333,0.0,0.0
315,R@1000,0.5970149253731343,0.0,0.0
315,nDCG@3,0.0,0.0,0.0
315,nDCG@10,0.0,0.0,0.0
315,nDCG@20,0.07072292931370272,0.0,0.0
315,nDCG@100,0.09337977055008514,0.0,0.0
316,AP,0.00021945120881720694,5.835667600373482e-05,7.822277847309137e-05
316,RR,0.0035087719298245615,0.001984126984126984,0.0026595744680851063
316,R@1000,0.058823529411764705,0.029411764705882353,0.029411764705882353
316,nDCG@3,0.0,0.0,0.0
316,nDCG@10,0.0,0.0,0.0
316,nDCG@20,0.0,0.0,0.0
316,nDCG@100,0.0,0.0,0.0
317,AP,0.0,0.0,0.0
317,RR,0.0,0.0,0.0
317,R@1000,0.0,0.0,0.0
317,nDCG@3,0.0,0.0,0.0
317,nDCG@10,0.0,0.0,0.0
317,nDCG@20,0.0,0.0,0.0
317,nDCG@100,0.0,0.0,0.0
318,AP,0.0,0.0,0.0
318,RR,0.0,0.0,0.0
318,R@1000,0.0,0.0,0.0
318,nDCG@3,0.0,0.0,0.0
318,nDCG@10,0.0,0.0,0.0
318,nDCG@20,0.0,0.0,0.0
318,nDCG@100,0.0,0.0,0.0
319,AP,0.008121006393848487,2.223569840307257e-05,0.0
319,RR,0.3333333333333333,0.001718213058419244,0.0
319,R@1000,0.10588235294117647,0.011764705882352941,0.0
319,nDCG@3,0.23463936301137822,0.0,0.0
319,nDCG@10,0.11004588314904008,0.0,0.0
319,nDCG@20,0.13622328153272548,0.0,0.0
319,nDCG@100,0.07343071395080851,0.0,0.0
320,AP,0.12695512548453725,0.0,0.0
320,RR,0.14285714285714285,0.0,0.0
320,R@1000,1.0,0.0,0.0
320,nDCG@3,0.0,0.0,0.0
320,nDCG@10,0.18833918526767932,0.0,0.0
320,nDCG@20,0.18833918526767932,0.0,0.0
320,nDCG@100,0.4121138029395341,0.0,0.0
321,AP,0.0,0.0,0.0
321,RR,0.0,0.0,0.0
321,R@1000,0.0,0.0,0.0
321,nDCG@3,0.0,0.0,0.0
321,nDCG@10,0.0,0.0,0.0
321,nDCG@20,0.0,0.0,0.0
321,nDCG@100,0.0,0.0,0.0
322,AP,0.004168144415266943,0.0,0.0
322,RR,0.02,0.0,0.0
322,R@1000,0.2647058823529412,0.0,0.0
322,nDCG@3,0.0,0.0,0.0
322,nDCG@10,0.0,0.0,0.0
322,nDCG@20,0.0,0.0,0.0
322,nDCG@100,0.03384825230057512,0.0,0.0
323,AP,0.0,0.0,0.0
323,RR,0.0,0.0,0.0
323,R@1000,0.0,0.0,0.0
323,nDCG@3,0.0,0.0,0.0
323,nDCG@10,0.0,0.0,0.0
323,nDCG@20,0.0,0.0,0.0
323,nDCG@100,0.0,0.0,0.0
324,AP,6.517502753644914e-06,0.0,6.3966839590356356e-06
324,RR,0.001049317943336831,0.0,0.0010298661174047373
324,R@1000,0.006211180124223602,0.0,0.006211180124223602
324,nDCG@3,0.0,0.0,0.0
324,nDCG@10,0.0,0.0,0.0
324,nDCG@20,0.0,0.0,0.0
324,nDCG@100,0.0,0.0,0.0
325,AP,0.0009456459909976753,0.00016276041666666666,0.00013706140350877192
325,RR,0.010869565217391304,0.00390625,0.003289473684210526
325,R@1000,0.125,0.041666666666666664,0.041666666666666664
325,nDCG@3,0.0,0.0,0.0
325,nDCG@10,0.0,0.0,0.0
325,nDCG@20,0.0,0.0,0.0
325,nDCG@100,0.019311086198862997,0.0,0.0
326,AP,0.0,0.0,0.0
326,RR,0.0,0.0,0.0
326,R@1000,0.0,0.0,0.0
326,nDCG@3,0.0,0.0,0.0
326,nDCG@10,0.0,0.0,0.0
326,nDCG@20,0.0,0.0,0.0
326,nDCG@100,0.0,0.0,0.0
327,AP,0.0,0.0,0.0
327,RR,0.0,0.0,0.0
327,R@1000,0.0,0.0,0.0
327,nDCG@3,0.0,0.0,0.0
327,nDCG@10,0.0,0.0,0.0
327,nDCG@20,0.0,0.0,0.0
327,nDCG@100,0.0,0.0,0.0
328,AP,0.0,0.0,0.0
328,RR,0.0,0.0,0.0
328,R@1000,0.0,0.0,0.0
328,nDCG@3,0.0,0.0,0.0
328,nDCG@10,0.0,0.0,0.0
328,nDCG@20,0.0,0.0,0.0
328,nDCG@100,0.0,0.0,0.0
329,AP,0.0,0.0,0.0
