query_id,measure,value
156493,AP,0.7654819183408708
156493,RR,1.0
156493,R@1000,0.9924812030075187
156493,nDCG@3,0.9298593499260985
156493,nDCG@10,0.9634117275431489
156493,nDCG@20,0.975526716839859
156493,nDCG@100,0.8428623171468487
1110199,AP,0.5141891518029055
1110199,RR,1.0
1110199,R@1000,0.9428571428571428
1110199,nDCG@3,0.687147515984829
1110199,nDCG@10,0.7681765330106393
1110199,nDCG@20,0.5635839473203557
1110199,nDCG@100,0.6666550698988907
1063750,AP,0.2813910496564342
1063750,RR,1.0
1063750,R@1000,0.5833333333333334
1063750,nDCG@3,0.6666666666666667
1063750,nDCG@10,0.7613829170291246
1063750,nDCG@20,0.7362866469547388
1063750,nDCG@100,0.5285396197110996
130510,AP,0.8545414156402934
130510,RR,1.0
130510,R@1000,1.0
130510,nDCG@3,1.0
130510,nDCG@10,0.9678518291773597
130510,nDCG@20,0.9268007089182251
130510,nDCG@100,0.9323509838498328
489204,AP,0.07461797385227573
489204,RR,1.0
489204,R@1000,0.4479166666666667
489204,nDCG@3,0.4049765583210164
489204,nDCG@10,0.21125257092535185
489204,nDCG@20,0.17462188491127742
489204,nDCG@100,0.14057658074406748
573724,AP,0.7657188553499737
573724,RR,1.0
573724,R@1000,0.9855072463768116
573724,nDCG@3,0.6900468833579672
573724,nDCG@10,0.6307507618926405
573724,nDCG@20,0.7213067382180528
573724,nDCG@100,0.8045894129774769
168216,AP,0.6183640436101742
168216,RR,1.0
168216,R@1000,0.7577854671280276
168216,nDCG@3,0.9217868789962073
168216,nDCG@10,0.941233297798857
168216,nDCG@20,0.9620738892227131
168216,nDCG@100,0.9436425362079865
1133167,AP,0.8135117668421715
1133167,RR,1.0
1133167,R@1000,0.9052631578947369
1133167,nDCG@3,0.6666666666666667
1133167,nDCG@10,0.6666666666666666
1133167,nDCG@20,0.744882170977941
1133167,nDCG@100,0.9216035753986294
527433,AP,0.22012681317321978
527433,RR,1.0
527433,R@1000,0.8133333333333334
527433,nDCG@3,0.5679726963447116
527433,nDCG@10,0.5153233702362063
527433,nDCG@20,0.44995900851783355
527433,nDCG@100,0.4028336825291134
1037798,AP,0.021733821733821733
1037798,RR,0.16666666666666666
1037798,R@1000,0.23076923076923078
1037798,nDCG@3,0.0
1037798,nDCG@10,0.10890423322985875
1037798,nDCG@20,0.14344091194972597
1037798,nDCG@100,0.14344091194972597
915593,AP,0.33357460298127706
915593,RR,1.0
915593,R@1000,0.9130434782608695
915593,nDCG@3,0.9217868789962073
915593,nDCG@10,0.6699016406766828
915593,nDCG@20,0.5197267805817404
915593,nDCG@100,0.37944135985350375
264014,AP,0.8221172894780707
264014,RR,1.0
264014,R@1000,0.95260663507109
264014,nDCG@3,1.0
264014,nDCG@10,0.8979204521720148
264014,nDCG@20,0.8279465585989237
264014,nDCG@100,0.884270865230392
1121402,AP,0.9289549471063261
1121402,RR,1.0
1121402,R@1000,0.9565217391304348
1121402,nDCG@3,1.0
1121402,nDCG@10,0.9526058178152246
1121402,nDCG@20,0.8766270232135209
1121402,nDCG@100,0.9346436732162567
962179,AP,0.6810311553787666
962179,RR,1.0
962179,R@1000,1.0
962179,nDCG@3,1.0
962179,nDCG@10,0.9216017310213247
962179,nDCG@20,0.7268382603868168
962179,nDCG@100,0.8904870511394032
1117099,AP,0.012786328116254976
1117099,RR,0.3333333333333333
1117099,R@1000,0.19327731092436976
1117099,nDCG@3,0.23463936301137825
1117099,nDCG@10,0.19518900079066107
1117099,nDCG@20,0.16003158014479704
1117099,nDCG@100,0.07253748847919414
148538,AP,0.31093999508917364
148538,RR,1.0
148538,R@1000,0.8316831683168316
148538,nDCG@3,0.6161648742095499
148538,nDCG@10,0.526699067902696
148538,nDCG@20,0.5464335870343787
148538,nDCG@100,0.39975443479575296
451602,AP,0.2449808875198093
451602,RR,1.0
451602,R@1000,0.5324675324675324
451602,nDCG@3,0.625704968030342
451602,nDCG@10,0.629116095803964
451602,nDCG@20,0.5726967483046107
451602,nDCG@100,0.3674574016378565
359349,AP,0.5954544207129181
359349,RR,1.0
359349,R@1000,0.9642857142857143
359349,nDCG@3,0.7448797876704595
359349,nDCG@10,0.8346870265100178
359349,nDCG@20,0.9077246209725744
359349,nDCG@100,0.7625992027444103
1115776,AP,0.5680995352891043
1115776,RR,1.0
1115776,R@1000,0.9583333333333334
1115776,nDCG@3,0.9151505377371351
1115776,nDCG@10,0.8786273419036026
1115776,nDCG@20,0.7467329801455725
1115776,nDCG@100,0.7936616931998383
1112341,AP,0.18102662935864483
1112341,RR,1.0
1112341,R@1000,0.6619718309859155
1112341,nDCG@3,0.8435737579924145
1112341,nDCG@10,0.6302238688869315
1112341,nDCG@20,0.4670658386755159
1112341,nDCG@100,0.27267602315575706
131843,AP,0.15794095580614476
131843,RR,1.0
131843,R@1000,0.203125
131843,nDCG@3,1.0
131843,nDCG@10,0.8553475075669357
131843,nDCG@20,0.6926181495288513
131843,nDCG@100,0.5111778518563777
104861,AP,0.6934463856020506
104861,RR,1.0
104861,R@1000,0.9219858156028369
104861,nDCG@3,1.0
104861,nDCG@10,0.914856882358379
104861,nDCG@20,0.9263980367447917
104861,nDCG@100,0.7823326483941287
833860,AP,0.6777741797724381
833860,RR,1.0
833860,R@1000,0.88
833860,nDCG@3,0.8230929086742522
833860,nDCG@10,0.9170305576591351
833860,nDCG@20,0.8970289078189084
833860,nDCG@100,0.8133651316002362
207786,AP,0.5657336091374939
207786,RR,1.0
207786,R@1000,0.9583333333333334
207786,nDCG@3,0.46927872602275644
207786,nDCG@10,0.5282967598633266
207786,nDCG@20,0.578983383745862
207786,nDCG@100,0.6839816179725715
1114819,AP,0.5155554684386733
1114819,RR,1.0
1114819,R@1000,0.6715542521994134
1114819,nDCG@3,0.6666666666666667
1114819,nDCG@10,0.6898104073122591
1114819,nDCG@20,0.7745923386958071
1114819,nDCG@100,0.8078633653105627
183378,AP,0.5711119937209215
183378,RR,1.0
183378,R@1000,0.8034934497816594
183378,nDCG@3,1.0
183378,nDCG@10,1.0
183378,nDCG@20,0.9784411392344535
183378,nDCG@100,0.8179306298058148
1106007,AP,0.40682062110549183
1106007,RR,1.0
1106007,R@1000,0.7166666666666667
1106007,nDCG@3,1.0
1106007,nDCG@10,0.8345259288182667
1106007,nDCG@20,0.8102644715621522
1106007,nDCG@100,0.6629154604460435
1124210,AP,0.0192991219979467
1124210,RR,0.25
1124210,R@1000,0.2949640287769784
1124210,nDCG@3,0.0
1124210,nDCG@10,0.06951001146215491
1124210,nDCG@20,0.049545185793161334
1124210,nDCG@100,0.06048810759281695
490595,AP,0.7402990976576502
490595,RR,1.0
490595,R@1000,0.9636363636363636
490595,nDCG@3,0.33333333333333337
490595,nDCG@10,0.4723489515534688
490595,nDCG@20,0.6003315083095933
490595,nDCG@100,0.7401870225199939
1103812,AP,0.4102544876733245
1103812,RR,1.0
1103812,R@1000,0.8387096774193549
1103812,nDCG@3,0.687147515984829
1103812,nDCG@10,0.6817517847179604
1103812,nDCG@20,0.5989065699348911
1103812,nDCG@100,0.6084458582547146
87181,AP,0.5428161590140476
87181,RR,1.0
87181,R@1000,0.9036144578313253
87181,nDCG@3,0.8519590445170673
87181,nDCG@10,0.7377157961398071
87181,nDCG@20,0.7100975016773542
87181,nDCG@100,0.6900959529732441
443396,AP,0.0648923474905331
443396,RR,1.0
443396,R@1000,0.1595744680851064
443396,nDCG@3,0.5679726963447116
443396,nDCG@10,0.3611676119588158
443396,nDCG@20,0.34189220857014535
443396,nDCG@100,0.23697222857041936
1121709,AP,0.7802207756012104
1121709,RR,1.0
1121709,R@1000,1.0
1121709,nDCG@3,0.7346393630113782
1121709,nDCG@10,0.7314532271478469
1121709,nDCG@20,0.8519977255436928
1121709,nDCG@100,0.8745833662710487
87452,AP,0.371537987163353
87452,RR,1.0
87452,R@1000,0.6419753086419753
87452,nDCG@3,0.43202730365528846
87452,nDCG@10,0.5049743869974852
87452,nDCG@20,0.4691847663799958
87452,nDCG@100,0.4591958998374632
855410,AP,0.9166666666666666
855410,RR,1.0
855410,R@1000,1.0
855410,nDCG@3,1.0
855410,nDCG@10,0.9841302506937817
855410,nDCG@20,0.9841302506937817
855410,nDCG@100,0.9841302506937817
1114646,AP,0.39577500448443287
1114646,RR,1.0
1114646,R@1000,0.8461538461538461
1114646,nDCG@3,1.0
1114646,nDCG@10,0.8170745952770049
1114646,nDCG@20,0.7382089608580492
1114646,nDCG@100,0.6788431625643854
19335,AP,0.2899099416261967
19335,RR,1.0
19335,R@1000,0.95
19335,nDCG@3,0.6089343949810363
19335,nDCG@10,0.42440526648385496
19335,nDCG@20,0.42691060708208795
19335,nDCG@100,0.5566652255167489
47923,AP,0.48805087113863677
47923,RR,1.0
47923,R@1000,0.8928571428571429
47923,nDCG@3,0.5884535456628739
47923,nDCG@10,0.5851171892336959
47923,nDCG@20,0.6617008939620569
47923,nDCG@100,0.544072199711373
405717,AP,0.639062356020782
405717,RR,1.0
405717,R@1000,1.0
405717,nDCG@3,0.617319681505689
405717,nDCG@10,0.7257294899518942
405717,nDCG@20,0.7399279943641079
405717,nDCG@100,0.7809610293921269
182539,AP,0.7840250634166389
182539,RR,1.0
182539,R@1000,0.9433962264150944
182539,nDCG@3,0.834835908247115
182539,nDCG@10,0.7309233182508469
182539,nDCG@20,0.8485766340849625
182539,nDCG@100,0.8352941455244315
1113437,AP,0.39058925513348697
1113437,RR,1.0
1113437,R@1000,0.987012987012987
1113437,nDCG@3,0.3393978490514598
1113437,nDCG@10,0.31540301259264525
1113437,nDCG@20,0.34384009925914644
1113437,nDCG@100,0.5030819744472121
1129237,AP,0.5241925384597373
1129237,RR,0.3333333333333333
1129237,R@1000,0.9642857142857143
1129237,nDCG@3,0.23463936301137825
1129237,nDCG@10,0.5774250016294136
1129237,nDCG@20,0.612418792388006
1129237,nDCG@100,0.6964290208250796
146187,AP,0.6515850222831474
146187,RR,1.0
146187,R@1000,1.0
146187,nDCG@3,0.8099531166420328
146187,nDCG@10,0.8704765997983215
146187,nDCG@20,0.7984187227545814
146187,nDCG@100,0.8542646496713425
