query_id,measure,value
156493,AP,0.7735360370720942
156493,RR,1.0
156493,R@1000,0.9849624060150376
156493,nDCG@3,0.8099531166420328
156493,nDCG@10,0.9008636626471189
156493,nDCG@20,0.9492994779558287
156493,nDCG@100,0.8605980604853325
1110199,AP,0.386172215652202
1110199,RR,1.0
1110199,R@1000,0.9142857142857143
1110199,nDCG@3,0.8026120593560899
1110199,nDCG@10,0.7632099856295478
1110199,nDCG@20,0.5866247278421713
1110199,nDCG@100,0.6105773989636633
1063750,AP,0.20020080544309857
1063750,RR,1.0
1063750,R@1000,0.45652173913043476
1063750,nDCG@3,0.6666666666666667
1063750,nDCG@10,0.8368789572119403
1063750,nDCG@20,0.7507473857274222
1063750,nDCG@100,0.48617376280256247
130510,AP,0.749018946781655
130510,RR,1.0
130510,R@1000,1.0
130510,nDCG@3,1.0
130510,nDCG@10,0.9645639807857893
130510,nDCG@20,0.890596796777714
130510,nDCG@100,0.8929828346484432
489204,AP,0.12663229004432355
489204,RR,1.0
489204,R@1000,0.625
489204,nDCG@3,0.30995311664203284
489204,nDCG@10,0.3005047355936281
489204,nDCG@20,0.30328190106461284
489204,nDCG@100,0.2090424510733606
573724,AP,0.7422492434665705
573724,RR,1.0
573724,R@1000,1.0
573724,nDCG@3,0.6900468833579672
573724,nDCG@10,0.6223231008264022
573724,nDCG@20,0.7298802586726364
573724,nDCG@100,0.7852908099755527
168216,AP,0.6090251946128349
168216,RR,1.0
168216,R@1000,0.754325259515571
168216,nDCG@3,1.0
168216,nDCG@10,0.9504120313864756
168216,nDCG@20,0.9427670813364324
168216,nDCG@100,0.9649520296018459
1133167,AP,0.8316347123327441
1133167,RR,1.0
1133167,R@1000,0.9122807017543859
1133167,nDCG@3,0.6666666666666667
1133167,nDCG@10,0.6666666666666666
1133167,nDCG@20,0.7830342732887051
1133167,nDCG@100,0.9466636394966653
527433,AP,0.4516548130744668
527433,RR,1.0
527433,R@1000,0.9466666666666667
527433,nDCG@3,0.7448797876704595
527433,nDCG@10,0.6488599136617411
527433,nDCG@20,0.5672058936839285
527433,nDCG@100,0.5976105458736888
1037798,AP,0.023172364695969845
1037798,RR,0.14285714285714285
1037798,R@1000,0.3076923076923077
1037798,nDCG@3,0.0
1037798,nDCG@10,0.1019109450635844
1037798,nDCG@20,0.1401784935973439
1037798,nDCG@100,0.1401784935973439
915593,AP,0.34849462976995677
915593,RR,1.0
915593,R@1000,0.9891304347826086
915593,nDCG@3,1.0
915593,nDCG@10,0.6742113934113356
915593,nDCG@20,0.5165750032902087
915593,nDCG@100,0.3762297441266387
264014,AP,0.7555253471619738
264014,RR,1.0
264014,R@1000,0.8909952606635071
264014,nDCG@3,0.8435737579924145
264014,nDCG@10,0.852593468587329
264014,nDCG@20,0.8697673745826384
264014,nDCG@100,0.8843875395096789
1121402,AP,0.9002365571857314
1121402,RR,1.0
1121402,R@1000,1.0
1121402,nDCG@3,1.0
1121402,nDCG@10,0.9668728882728055
1121402,nDCG@20,0.9279779475217605
1121402,nDCG@100,0.9391053934056544
962179,AP,0.6694381967436789
962179,RR,1.0
962179,R@1000,1.0
962179,nDCG@3,1.0
962179,nDCG@10,0.92663607790064
962179,nDCG@20,0.6873806978885827
962179,nDCG@100,0.8695767020806716
1117099,AP,0.24569111820533812
1117099,RR,1.0
1117099,R@1000,0.3949579831932773
1117099,nDCG@3,1.0
1117099,nDCG@10,0.9787930706003494
1117099,nDCG@20,0.8707104110025414
1117099,nDCG@100,0.5047028958707247
148538,AP,0.37749242492129675
148538,RR,1.0
148538,R@1000,0.8613861386138614
148538,nDCG@3,0.7010143364724148
148538,nDCG@10,0.7312552852326949
148538,nDCG@20,0.6063404864719517
148538,nDCG@100,0.4815038591172547
451602,AP,0.17539261805667553
451602,RR,1.0
451602,R@1000,0.44805194805194803
451602,nDCG@3,0.6089343949810363
451602,nDCG@10,0.4915978219861562
451602,nDCG@20,0.49692979777061763
451602,nDCG@100,0.30864806953181845
359349,AP,0.616326795542051
359349,RR,1.0
359349,R@1000,0.9464285714285714
359349,nDCG@3,0.6666666666666667
359349,nDCG@10,0.7664089440038208
359349,nDCG@20,0.872675313977776
359349,nDCG@100,0.7919587249819866
1115776,AP,0.4608855894374313
1115776,RR,1.0
1115776,R@1000,0.9166666666666666
1115776,nDCG@3,0.9151505377371351
1115776,nDCG@10,0.7766224098937302
1115776,nDCG@20,0.7143349410394665
1115776,nDCG@100,0.755576038470235
1112341,AP,0.1578364848682656
1112341,RR,1.0
1112341,R@1000,0.4647887323943662
1112341,nDCG@3,1.0
1112341,nDCG@10,0.6622857077033232
1112341,nDCG@20,0.5831164871837997
1112341,nDCG@100,0.3063375220029263
131843,AP,0.14011718134487738
131843,RR,1.0
131843,R@1000,0.25
131843,nDCG@3,1.0
131843,nDCG@10,0.793584067764911
131843,nDCG@20,0.6100368697102062
131843,nDCG@100,0.47470990380780137
104861,AP,0.6690820956040024
104861,RR,1.0
104861,R@1000,0.8794326241134752
104861,nDCG@3,1.0
104861,nDCG@10,1.0
104861,nDCG@20,0.9644899900915856
104861,nDCG@100,0.7634420752146504
833860,AP,0.5828066085610698
833860,RR,1.0
833860,R@1000,0.8266666666666667
833860,nDCG@3,1.0
833860,nDCG@10,0.9526603142741242
833860,nDCG@20,0.8968778555636759
833860,nDCG@100,0.7928753292145162
207786,AP,0.6186376121071516
207786,RR,1.0
207786,R@1000,0.9166666666666666
207786,nDCG@3,0.8826803184943108
207786,nDCG@10,0.6288671734215723
207786,nDCG@20,0.6514901956652889
207786,nDCG@100,0.7778496769964158
1114819,AP,0.673811430270858
1114819,RR,1.0
1114819,R@1000,0.8357771260997068
1114819,nDCG@3,0.6666666666666667
1114819,nDCG@10,0.7456024738490592
1114819,nDCG@20,0.7859231602984466
1114819,nDCG@100,0.8600538084878881
183378,AP,0.363815368039427
183378,RR,1.0
183378,R@1000,0.6244541484716157
183378,nDCG@3,1.0
183378,nDCG@10,1.0
183378,nDCG@20,0.9501727158973855
183378,nDCG@100,0.656047716389078
1106007,AP,0.28946515351872615
1106007,RR,0.5
1106007,R@1000,0.6333333333333333
1106007,nDCG@3,0.5307212739772436
1106007,nDCG@10,0.67477774371196
1106007,nDCG@20,0.6185493472668261
1106007,nDCG@100,0.537516724751344
1124210,AP,0.07839393285029551
1124210,RR,1.0
1124210,R@1000,0.4892086330935252
1124210,nDCG@3,0.6089343949810363
1124210,nDCG@10,0.49988881076558966
1124210,nDCG@20,0.3563095946083706
1124210,nDCG@100,0.20533855526114878
490595,AP,0.7533354079270292
490595,RR,1.0
490595,R@1000,0.9636363636363636
490595,nDCG@3,0.5884535456628739
490595,nDCG@10,0.6348525012422301
490595,nDCG@20,0.7150278086480157
490595,nDCG@100,0.7926652236669607
1103812,AP,0.2173091499138885
1103812,RR,1.0
1103812,R@1000,0.7096774193548387
1103812,nDCG@3,0.5474918470265493
1103812,nDCG@10,0.6040579567816083
1103812,nDCG@20,0.48424299581522057
1103812,nDCG@100,0.46128803999902807
87181,AP,0.5728062484534289
87181,RR,1.0
87181,R@1000,0.9397590361445783
87181,nDCG@3,1.0
87181,nDCG@10,0.8879972192424123
87181,nDCG@20,0.7323923837252903
87181,nDCG@100,0.7168036204533611
443396,AP,0.04876948279925804
443396,RR,1.0
443396,R@1000,0.1702127659574468
443396,nDCG@3,1.0
443396,nDCG@10,0.5541432109622957
443396,nDCG@20,0.3787679937286516
443396,nDCG@100,0.2161013697176181
1121709,AP,0.5669627172344563
1121709,RR,1.0
1121709,R@1000,0.75
1121709,nDCG@3,0.7346393630113782
1121709,nDCG@10,0.6776230953294379
1121709,nDCG@20,0.6261066518797909
1121709,nDCG@100,0.7031622580705084
87452,AP,0.35326713328671927
87452,RR,1.0
87452,R@1000,0.5925925925925926
87452,nDCG@3,0.48975957534091885
87452,nDCG@10,0.5385462504059327
87452,nDCG@20,0.518995479273733
87452,nDCG@100,0.46124148834020384
855410,AP,0.8611111111111112
855410,RR,1.0
855410,R@1000,1.0
855410,nDCG@3,1.0
855410,nDCG@10,0.9723717493893282
855410,nDCG@20,0.9723717493893282
855410,nDCG@100,0.9723717493893282
1114646,AP,0.3097769482629134
1114646,RR,1.0
1114646,R@1000,0.7115384615384616
1114646,nDCG@3,1.0
1114646,nDCG@10,0.7658823473554686
1114646,nDCG@20,0.7128695744786965
1114646,nDCG@100,0.6276213454826803
19335,AP,0.23323335587588745
19335,RR,0.25
19335,R@1000,0.95
19335,nDCG@3,0.0
19335,nDCG@10,0.12438012642349111
19335,nDCG@20,0.19128827598493078
19335,nDCG@100,0.35835357713632837
47923,AP,0.43039486906132085
47923,RR,1.0
47923,R@1000,0.8928571428571429
47923,nDCG@3,0.33333333333333337
47923,nDCG@10,0.5651605035580198
